Team_Names,Average_Height,Average_age,All_star_players,3_Pointers_Attempted,Avg_number_of_rebounds,Avg_assists_per_game,Avg_turnovers_per_game,Wins
Atlanta Hawks '19,79.33,24.5,0,37,46.1,25.2,17.6,29
Boston Celtics '19,78.87,26.8,1,34.5,44.5,26.9,12.8,49
Brooklyn Nets '19,79,25.6,1,36.2,46.6,24.8,15.1,42
Charlotte Hornets '19,78.79,26.6,1,33.9,43.8,23.4,12.2,39
Chicago Bulls '19,79.53,23.1,0,25.9,42.9,21.5,14.6,22
Cleveland Cavaliers  '19,79.43,29.1,0,29.1,42.7,20.5,14.5,19
Dallas Mavericks '19,78.53,28,1,36.6,45.3,23.2,14,33
Denver Nuggets '19,79,24.9,1,31.4,46.4,27.1,13,53
Detroit Pistons '19,78.27,26.9,1,34.8,45,25.2,13.6,41
Golden State Warriors '19,79.57,27.1,3,34.4,46.2,29.5,12.9,57
Houston Rockets '19,79.43,29.2,1,45.4,42.1,24.9,13.3,53
Indiana Pacers '19,79.13,27,1,25.4,43,26,13.7,48
Los Angeles Clippers '19,78.6,27.2,0,25.8,45.5,25,14.5,48
Los Angeles Lakers '19,79.86,26.2,1,31,46.6,25.1,15.7,37
Memphis Grizzlies '19,79,27.7,0,28.9,41.8,23.9,14,33
Miami Heat '19,78.71,27,1,32.4,46.3,24.3,14.7,39
Milwaukee Bucks '19,79.5,26.9,2,38.2,49.7,26.8,13.3,60
Minnesota Timberwolves '19,79.43,28.2,1,28.7,44.8,24.8,13.1,36
New Orleans Pelicans '19,78.87,25.1,1,29.9,47.3,26.6,14.8,33
New York Knicks '19,79.93,23.1,0,29.5,44.7,20.5,14.9,17
Oklahoma City Thunder '19,78.57,25.9,2,32.6,48.1,24.7,12.8,49
Orlando Magic '19,79.67,25.7,1,32.1,45.4,24.5,13.2,42
Philadelphia 76ers '19,79.27,26.4,2,30.2,47.8,27,14.9,49
Phoenix Suns '19,79.47,23.9,0,29.3,40.4,22.2,16.1,19
Portland Trail Blazers '19,79.2,26.2,1,30.7,45.5,24.6,13.8,53
Sacramento Kings '19,79,24.8,0,29.9,45.4,24.9,13.4,39
San Antonio Spurs '19,79.13,28,1,25.3,44.7,26.1,12.1,48
